N,Site,Cham,Sample,Window,Nest,YY,MM,DD,Time,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,Notes,,
1,DF,1,A,C,NA,2013,7,2,2:02,24.2,24.2,24.4,24.4,,,
2,DF,1,B,B,1,2013,7,2,2:18,24.8,24.6,24.6,24.4,,,
3,DF,1,C,B,NA,2013,7,2,2:21,25.2,25.2,25.2,25,,,
4,DF,2,A,B,NA,2013,7,2,2:04,23,23.2,23.2,23.4,,,
5,DF,2,B,C,NA,2013,7,2,2:11,23.8,23.8,23.6,23.6,,,
6,DF,2,C,A,1,2013,7,2,2:15,22.4,23.6,23.6,23.6,,,
7,DF,3,A,B,1,2013,7,2,12:45,23,23,23.6,23.2,,,
8,DF,3,B,A,1,2013,7,2,12:47,23,22.8,23,23.8,,,
9,DF,3,C,C,1,2013,7,2,12:50,22.8,22.8,22.8,22.4,,,
10,DF,4,A,B,NA,2013,7,2,12:38,22.4,22.4,22.6,22.6,,,
11,DF,4,B,D,NA,2013,7,2,12:55,24,24.2,23.8,23.8,,,
12,DF,4,C,A,NA,2013,7,2,1:00,23.8,23.8,24.2,23.8,,,
13,DF,5,A,C,1,2013,7,2,10:39,24.2,24,23.8,24,,,
14,DF,5,B,D,2,2013,7,2,10:44,23.6,25.4,23.6,23.6,,,
15,DF,5,C,E,1,2013,7,2,10:48,23.4,23.4,23.2,23.6,,,
16,DF,6,A,C,NA,2013,7,2,10:54,24.2,24.6,24.4,24.4,,,
17,DF,6,B,B,NA,2013,7,2,10:56,24.8,24.4,24.8,25.4,,,
18,DF,6,C,D,NA,2013,7,2,11:01,24.2,24.4,24.6,24.2,,,
19,DF,7,A,A,1,2013,7,2,10:18,24.2,24.4,24,24.2,,,
20,DF,7,B,B,1,2013,7,2,10:23,24.2,24.2,24.2,24.2,,,
21,DF,7,C,C,NA,2013,7,2,3:02,24.4,24.6,24.6,24.6,,,
22,DF,8,A,B,NA,2013,7,2,1:24,24.4,24.2,24.2,24.2,,,
23,DF,8,B,C,NA,2013,7,2,1:29,25.2,25.2,24.8,24.6,,,
24,DF,8,C,NA,NA,2013,7,2,NA,NA,NA,NA,NA,,,
25,DF,9,A,C,2,2013,7,2,9:59,23.8,23.8,23.8,24.4,,,
26,DF,9,B,D,NA,2013,7,2,1:28,24.8,24.6,25.2,24.6,,,
27,DF,9,C,B,NA,2013,7,2,1:45,24.6,24.6,24.2,24.6,,,
28,DF,10,A,A,NA,2013,7,2,11:23,24.6,24.8,24.6,24.4,,,
29,DF,10,B,C,1,2013,7,2,11:25,24.8,25.4,24.2,24.8,,,
30,DF,10,C,D,1,2013,7,2,11:31,25.2,23.8,25,24.4,,,
31,DF,11,A,B,1,2013,7,2,11:40,23.4,23.4,23.6,23.4,,,
32,DF,11,B,A,1,2013,7,2,11:45,23.4,23.2,23,23.2,,,
33,DF,11,C,C,NA,2013,7,2,11:49,23.4,23.4,23.4,23.2,,,
34,DF,12,A,B,1,2013,7,2,11:11,25.6,24.8,25.4,25.2,,,
35,DF,12,B,D,NA,2013,7,2,11:17,25.4,25.4,26,24.6,,,
36,DF,12,C,C,NA,2013,7,2,11:19,24.2,24.2,25.2,24.8,,,
37,DF,13,A,C,1,2013,7,2,11:54,23.2,23.6,23.4,23.2,,,
