n,Site,Cham,Sample,Date,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,Notes
1,DF,1,1,20130702,24.2,24.2,24.4,24.4,
2,DF,1,2,20130702,24.8,24.6,24.6,24.4,
3,DF,1,3,20130702,25.2,25.2,25.2,25,
4,DF,2,1,20130702,23,23.2,23.2,23.4,
5,DF,2,2,20130702,23.8,23.8,23.6,23.6,
6,DF,2,3,20130702,22.4,23.6,23.6,23.6,
7,DF,3,1,20130702,23,23,23.6,23.2,
8,DF,3,2,20130702,23,22.8,23,23.8,
9,DF,3,3,20130702,22.8,22.8,22.8,22.4,
10,DF,4,1,20130702,22.4,22.4,22.6,22.6,
11,DF,4,2,20130702,24,24.2,23.8,23.8,
12,DF,4,3,20130702,23.8,23.8,24.2,23.8,
13,DF,5,1,20130702,24.2,24,23.8,24,
14,DF,5,2,20130702,23.6,25.4,23.6,23.6,
15,DF,5,3,20130702,23.4,23.4,23.2,23.6,
16,DF,6,1,20130702,24.2,24.6,24.4,24.4,
17,DF,6,2,20130702,24.8,24.4,24.8,25.4,
18,DF,6,3,20130702,24.2,24.4,24.6,24.2,
19,DF,7,1,20130702,24.2,24.4,24,24.2,
20,DF,7,2,20130702,24.2,24.2,24.2,24.2,
21,DF,7,3,20130702,24.4,24.6,24.6,24.6,
22,DF,8,1,20130702,24.4,24.2,24.2,24.2,
23,DF,8,2,20130702,25.2,25.2,24.8,24.6,
25,DF,9,1,20130702,23.8,23.8,23.8,24.4,
26,DF,9,2,20130702,24.8,24.6,25.2,24.6,
27,DF,9,3,20130702,24.6,24.6,24.2,24.6,
28,DF,10,1,20130702,24.6,24.8,24.6,24.4,
29,DF,10,2,20130702,24.8,25.4,24.2,24.8,
30,DF,10,3,20130702,25.2,23.8,25,24.4,
31,DF,11,1,20130702,23.4,23.4,23.6,23.4,
32,DF,11,2,20130702,23.4,23.2,23,23.2,
33,DF,11,3,20130702,23.4,23.4,23.4,23.2,
34,DF,12,1,20130702,25.6,24.8,25.4,25.2,
35,DF,12,2,20130702,25.4,25.4,26,24.6,
36,DF,12,3,20130702,24.2,24.2,25.2,24.8,
37,DF,13,1,20130702,23.2,23.6,23.4,23.2,
38,DF,13,2,20130702,23.4,23.8,23.4,23.4,
39,DF,13,3,20130702,23.2,23.2,23.4,23.4,
40,DF,14,1,20130702,24,24,238,23.8,
41,DF,14,2,20130702,23.6,23.8,23.8,23.6,
42,DF,14,3,20130702,23.8,23.8,23.4,23.8,
43,DF,15,1,20130702,23.8,23.8,23.8,23.6,
44,DF,15,2,20130702,23.4,23.8,23.4,24.6,
45,DF,15,3,20130702,23.6,23.6,24,23.8,
46,DF,1,1,20130910,31.8,33.6,32.2,32.2,
47,DF,1,2,20130910,28.6,30.6,29.4,30.4,Under nest
48,DF,1,3,20130910,27,28.4,27.6,29,
49,DF,2,1,20130910,24.8,25.8,25.2,25.2,
50,DF,2,2,20130910,25.8,26,26,26.2,
51,DF,2,3,20130910,25.8,26.2,25.6,26.2,
52,DF,3,1,20130910,29.4,29.4,30.8,30.8,Under nest
53,DF,3,2,20130910,29.6,30.2,30.6,30.6,Under nest
54,DF,3,3,20130910,28.8,30.6,31.4,30.4,
55,DF,4,1,20130910,25.4,25.6,24.8,25.8,
56,DF,4,2,20130910,27.4,26.8,26.4,27.6,
57,DF,4,3,20130910,27.6,27.4,27.6,27.8,
58,DF,5,1,20130910,28.8,29.4,29.2,29.6,
59,DF,5,2,20130910,29.2,29.2,29.6,29.4,
60,DF,5,3,20130910,29.9,29.4,28.4,29.4,
61,DF,6,1,20130910,25.4,24.8,25.2,25.8,
62,DF,6,2,20130910,24.8,24.8,25.6,26.2,
63,DF,6,3,20130910,24.8,24.8,25.8,26.2,
64,DF,8,1,20130910,29.6,30.2,29.2,30.2,
65,DF,8,2,20130910,32.2,32.8,33.2,33.4,
66,DF,8,3,20130910,32.4,31,32.2,32.2,**Labeled 'D' in vial accidentally
67,DF,9,1,20130910,28.2,28.2,28.6,27.6,
68,DF,9,2,20130910,27.2,28.2,27.2,27.8,
69,DF,10,1,20130910,24.4,25.2,25.2,25,
70,DF,10,2,20130910,25,24,25,25,
71,DF,10,3,20130910,25,24,24,24,
72,DF,11,1,20130910,27.4,27.2,27.2,26.8,Under nest. **Labeled as nest D in vial**
73,DF,11,2,20130910,27.8,27.4,27.6,27.8,Under nest
