,n,Collection.Date,Site,Vial.Name,Cham,Sample,Window,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA.conc.,Isolation.Date,CT_18s,CT_40,CT_70,CT_83,CDNA,mean.temps,hsp40,hsp70,hsp83,color
1,3,20130702,DF,DF A1-A,1,3,B,25.2,25.2,25.2,25,14.8,20150731,18.459,32.099,26.112,31.266,2.5,25.15,12.03,29.61,4.84,red
2,4,20130702,DF,DF A2-B,2,1,B,23,23.2,23.2,23.4,42.1,20150814,13.121,32.058,28.401,31.109,2.5,23.2,0.31,0.15,0.13,red
3,7,20130702,DF,DF A3-B,3,1,B,23,23,23.6,23.2,16.5,20150730,29.813,NA,32.777,31.51,2.5,23.2,NA,763.89,10702.48,red
4,8,20130702,DF,DF A3-A,3,2,A,23,22.8,23,23.8,65,20150814,14.801,30.751,28.745,31.524,2.5,23.15,2.43,0.38,0.32,red
5,9,20130702,DF,DF A3-C,3,3,C,22.8,22.8,22.8,22.4,45.2,20150804,15.819,33.125,27.241,31.83,2.5,22.7,0.95,2.17,0.53,red
6,11,20130702,DF,DF A4-C,4,2,D,24,24.2,23.8,23.8,5.52,20150804,11.71,31.388,26.879,30.381,2.5,23.95,0.18,0.16,0.08,red
7,12,20130702,DF,DF A4-A,4,3,A,23.8,23.8,24.2,23.8,17.3,20150731,17.55,31.687,29.732,33.506,2.5,23.9,8.52,1.28,0.55,red
8,13,20130702,DF,DF A5-A,5,1,C,24.2,24,23.8,24,12.8,20150731,15.01,31.374,28.525,34.905,2.5,24,1.82,0.51,0.04,red
9,15,20130702,DF,DF A5-B,5,3,E,23.4,23.4,23.2,23.6,11.7,20150730,15.376,30.446,27.758,31.27,2.5,23.4,4.46,1.12,0.57,red
10,16,20130702,DF,DF A6-C,6,1,C,24.2,24.6,24.4,24.4,36.3,20150804,10.061,32.019,28.501,31.047,2.5,24.4,0.04,0.02,0.02,red
11,19,20130702,DF,DF A7-A,7,1,A,24.2,24.4,24,24.2,36.2,20150814,12.876,30.41,27.429,29.731,2.5,24.2,0.81,0.25,0.29,red
12,21,20130702,DF,DF A7-C,7,3,C,24.4,24.6,24.6,24.6,19.5,20150730,13.924,31.323,27.615,29.4,2.5,24.55,0.89,0.45,0.76,red
13,22,20130702,DF,DF A8-A,8,1,B,24.4,24.2,24.2,24.2,16.3,20150804,10.72,31.401,28.282,30.804,2.5,24.25,0.09,0.03,0.03,red
14,25,20130702,DF,DF A9-C,9,1,C,23.8,23.8,23.8,24.4,33.5,20150731,11.37,29.65,26.138,28.338,2.5,23.95,0.48,0.21,0.27,red
15,27,20130702,DF,DF A9-A,9,3,B,24.6,24.6,24.2,24.6,34.1,20150731,12.244,29.974,26.309,28.682,2.5,24.5,0.71,0.35,0.39,red
16,28,20130702,DF,DF A10-A,10,1,A,24.6,24.8,24.6,24.4,52,20150804,11.209,30.46,26.158,29.581,2.5,24.6,0.25,0.19,0.10,red
17,29,20130702,DF,DF A10-C,10,2,C,24.8,25.4,24.2,24.8,12.6,20150814,14.114,30.474,26.557,29.872,2.5,24.8,1.83,1.07,0.63,red
18,30,20130702,DF,DF A10-B,10,3,D,25.2,23.8,25,24.4,21.2,20150814,10.476,30.458,27.311,NA,2.5,24.6,0.15,0.05,NA,red
19,31,20130702,DF,DF A11-B,11,1,B,23.4,23.4,23.6,23.4,16.5,20150731,14.245,30.689,26.884,30.095,2.5,23.45,1.72,0.93,0.59,red
20,33,20130702,DF,DF A11-C,11,3,C,23.4,23.4,23.4,23.2,32.2,20150804,12.354,31.697,28.379,33.417,2.5,23.35,0.23,0.09,0.02,red
21,35,20130702,DF,DF A12-A,12,2,D,25.4,25.4,26,24.6,15.9,20150814,8.193,29.961,27.419,29.24,2.5,25.35,0.04,0.01,0.02,red
22,36,20130702,DF,DF A12-C,12,3,C,24.2,24.2,25.2,24.8,20.8,20150730,18.724,33.294,26.974,31.609,2.5,24.6,6.31,19.58,4.59,red
23,37,20130702,DF,DF A13-C,13,1,C,23.2,23.6,23.4,23.2,22.2,20150730,14.6,29.869,25.205,27.832,2.5,23.35,3.89,3.83,3.61,red
